ticker,entry_date,exit_date,return,days_held,allocated,strategy
V,2023-01-27,2023-02-28,-0.045024781907724055,20,1440.0,Strategy D (2x leveraged)
ACN,2023-03-23,2023-04-24,0.021198978165778024,20,3974.9554172464555,Strategy D (2x leveraged)
NKE,2023-04-06,2023-05-08,0.0641350335713325,20,2384.973250347873,Strategy D (2x leveraged)
TSLA,2023-04-24,2023-05-23,0.16247331920536107,20,3054.6721143473656,Strategy D (2x leveraged)
GOOGL,2023-04-26,2023-05-25,0.18956202166255212,20,1832.8032686084189,Strategy D (2x leveraged)
TXN,2023-04-26,2023-05-25,0.019168781035091956,20,1099.6819611650515,Strategy D (2x leveraged)
NEE,2023-04-26,2023-05-25,-0.004336686898232298,20,659.8091766990308,Strategy D (2x leveraged)
LIN,2023-04-27,2023-05-26,-0.025862278813862053,20,395.8855060194185,Strategy D (2x leveraged)
CMCSA,2023-04-27,2023-05-26,-0.021817999854441612,20,237.53130361165105,Strategy D (2x leveraged)
V,2023-04-27,2023-05-26,-0.021803076171318193,20,142.5187821669906,Strategy D (2x leveraged)
BAC,2023-05-01,2023-05-31,-0.02858398616103464,20,85.51126930019437,Strategy D (2x leveraged)
UPS,2023-05-03,2023-06-02,-0.026469129784661607,20,51.306761580116614,Strategy D (2x leveraged)
MCD,2023-05-04,2023-06-05,-0.01689077541834009,20,30.784056948069964,Strategy D (2x leveraged)
HD,2023-05-23,2023-06-23,0.014603567765635162,20,2454.0338028388833,Strategy D (2x leveraged)
ACN,2023-06-22,2023-07-24,0.04984821040197308,20,3423.8721152665785,Strategy D (2x leveraged)
PEP,2023-07-13,2023-08-11,-0.023134660510532284,20,3050.2718498710674,Strategy D (2x leveraged)
NFLX,2023-07-21,2023-08-21,-0.056163782228386146,20,1830.1631099226406,Strategy D (2x leveraged)
V,2023-07-26,2023-08-24,0.01967499526258321,20,2535.9162710967184,Strategy D (2x leveraged)
TXN,2023-07-26,2023-08-24,-0.03413422227357337,20,1521.5497626580309,Strategy D (2x leveraged)
